n_parcel,lat,lon,timestamp
102,-4.873196,-35.390488,2022-01-22 00:00:00
102,-4.928098,-35.298183,2022-01-21 18:00:00
102,-4.988263,-35.226326,2022-01-21 12:00:00
102,-5.062094,-35.151901,2022-01-21 06:00:00
102,-5.134435,-35.07428,2022-01-21 00:00:00
102,-5.219469,-35.000328,2022-01-20 18:00:00
102,-5.305027,-34.947323,2022-01-20 12:00:00
102,-5.404742,-34.905506,2022-01-20 06:00:00
102,-5.487667,-34.858944,2022-01-20 00:00:00
102,-5.570108,-34.801289000000004,2022-01-19 18:00:00
102,-5.641735,-34.752129,2022-01-19 12:00:00
102,-5.699133,-34.705017,2022-01-19 06:00:00
102,-5.741789,-34.648296,2022-01-19 00:00:00
102,-5.785668,-34.566292,2022-01-18 18:00:00
102,-5.8267370000000005,-34.486465,2022-01-18 12:00:00
102,-5.869308,-34.416271,2022-01-18 06:00:00
102,-5.914418,-34.349937,2022-01-18 00:00:00
102,-5.967641,-34.285698,2022-01-17 18:00:00
102,-6.0179839999999984,-34.235283,2022-01-17 12:00:00
102,-6.053797,-34.195786,2022-01-17 06:00:00
102,-6.078252,-34.145718,2022-01-17 00:00:00
102,-6.097153,-34.086159,2022-01-16 18:00:00
102,-6.1159930000000005,-34.027809000000005,2022-01-16 12:00:00
102,-6.126041000000002,-33.973251,2022-01-16 06:00:00
102,-6.131869999999998,-33.901913,2022-01-16 00:00:00
102,-6.137363,-33.818653000000005,2022-01-15 18:00:00
102,-6.152001,-33.72752,2022-01-15 12:00:00
102,-6.17299,-33.632805,2022-01-15 06:00:00
102,-6.204944,-33.528053,2022-01-15 00:00:00
102,-6.241668,-33.424896000000004,2022-01-14 18:00:00
102,-6.282203,-33.328823,2022-01-14 12:00:00
102,-6.323314,-33.249077,2022-01-14 06:00:00
102,-6.365766000000002,-33.178665,2022-01-14 00:00:00
102,-6.396413,-33.120274,2022-01-13 18:00:00
102,-6.425058,-33.067142,2022-01-13 12:00:00
102,-6.452302,-33.023087,2022-01-13 06:00:00
102,-6.47912,-32.974087,2022-01-13 00:00:00
102,-6.4914830000000014,-32.9231,2022-01-12 18:00:00
102,-6.493528,-32.870327,2022-01-12 12:00:00
102,-6.49135,-32.818649,2022-01-12 06:00:00
102,-6.488348,-32.754177,2022-01-12 00:00:00
102,-6.484476,-32.68718,2022-01-11 18:00:00
102,-6.490088,-32.614235,2022-01-11 12:00:00
102,-6.507264,-32.541359,2022-01-11 06:00:00
102,-6.531299,-32.458141,2022-01-11 00:00:00
102,-6.556842,-32.364727,2022-01-10 18:00:00
102,-6.582597,-32.282784,2022-01-10 12:00:00
102,-6.612195,-32.218143,2022-01-10 06:00:00
102,-6.645971,-32.155499,2022-01-10 00:00:00
103,-3.231157,-39.27056500000001,2022-02-10 00:00:00
103,-3.261576,-39.227234,2022-02-09 18:00:00
103,-3.2888230000000003,-39.190628,2022-02-09 12:00:00
103,-3.316167,-39.146225,2022-02-09 06:00:00
103,-3.3445970000000003,-39.105255,2022-02-09 00:00:00
103,-3.3662970000000003,-39.061321,2022-02-08 18:00:00
103,-3.392813,-39.029419,2022-02-08 12:00:00
103,-3.419368,-38.987164,2022-02-08 06:00:00
103,-3.446015,-38.959686,2022-02-08 00:00:00
103,-3.4705800000000004,-38.923431,2022-02-07 18:00:00
103,-3.500173,-38.883282,2022-02-07 12:00:00
103,-3.519656,-38.845051,2022-02-07 06:00:00
103,-3.536821,-38.812256,2022-02-07 00:00:00
103,-3.5546,-38.770256,2022-02-06 18:00:00
103,-3.590799,-38.720268,2022-02-06 12:00:00
103,-3.615093,-38.673523,2022-02-06 06:00:00
103,-3.644686,-38.626163,2022-02-06 00:00:00
103,-3.673705,-38.570511,2022-02-05 18:00:00
103,-3.710006,-38.520687,2022-02-05 12:00:00
103,-3.752064,-38.470558,2022-02-05 06:00:00
103,-3.797574,-38.425144,2022-02-05 00:00:00
103,-3.84156,-38.373215,2022-02-04 18:00:00
103,-3.889765,-38.325592,2022-02-04 12:00:00
103,-3.932261,-38.280441,2022-02-04 06:00:00
103,-3.968566000000001,-38.239162,2022-02-04 00:00:00
103,-4.008307,-38.188541,2022-02-03 18:00:00
103,-4.050154,-38.134594,2022-02-03 12:00:00
103,-4.089822,-38.083572,2022-02-03 06:00:00
103,-4.115803,-38.035549,2022-02-03 00:00:00
103,-4.154335,-37.99099,2022-02-02 18:00:00
103,-4.186946,-37.933994,2022-02-02 12:00:00
103,-4.230588,-37.882111,2022-02-02 06:00:00
103,-4.249688,-37.805641,2022-02-02 00:00:00
103,-4.30125,-37.746914,2022-02-01 18:00:00
103,-4.345861,-37.652531,2022-02-01 12:00:00
103,-4.414499,-37.597607,2022-02-01 06:00:00
103,-4.435983,-37.499924,2022-02-01 00:00:00
103,-4.474784,-37.454388,2022-01-31 18:00:00
103,-4.489625,-37.344425,2022-01-31 12:00:00
103,-4.556636,-37.28585800000001,2022-01-31 06:00:00
103,-4.567204,-37.184998,2022-01-31 00:00:00
103,-4.619422,-37.148457,2022-01-30 18:00:00
103,-4.6173449999999985,-37.071045,2022-01-30 12:00:00
103,-4.665592,-37.03442,2022-01-30 06:00:00
103,-4.652918,-36.980659,2022-01-30 00:00:00
103,-4.678134,-36.970982,2022-01-29 18:00:00
103,-4.663933,-36.948963,2022-01-29 12:00:00
103,-4.667937,-36.948135,2022-01-29 06:00:00
103,-4.64561,-36.934593,2022-01-29 00:00:00
103,-4.641943,-36.928974,2022-01-28 18:00:00
103,-4.636642,-36.906864,2022-01-28 12:00:00
103,-4.642867,-36.878563,2022-01-28 06:00:00
103,-4.651378,-36.838478,2022-01-28 00:00:00
103,-4.650773,-36.785038,2022-01-27 18:00:00
103,-4.667603,-36.727318,2022-01-27 12:00:00
103,-4.679965,-36.670952,2022-01-27 06:00:00
103,-4.702958,-36.610462,2022-01-27 00:00:00
103,-4.696057,-36.543839,2022-01-26 18:00:00
103,-4.702478,-36.49472,2022-01-26 12:00:00
103,-4.7126980000000005,-36.451096,2022-01-26 06:00:00
103,-4.7218160000000005,-36.411167,2022-01-26 00:00:00
103,-4.718838,-36.370441,2022-01-25 18:00:00
103,-4.722365,-36.337223,2022-01-25 12:00:00
103,-4.731808,-36.305984,2022-01-25 06:00:00
103,-4.7369080000000015,-36.272594,2022-01-25 00:00:00
103,-4.729701,-36.226791,2022-01-24 18:00:00
103,-4.7288169999999985,-36.195,2022-01-24 12:00:00
103,-4.72776,-36.169144,2022-01-24 06:00:00
103,-4.72398,-36.136612,2022-01-24 00:00:00
103,-4.718674,-36.078911,2022-01-23 18:00:00
103,-4.720116,-36.029995,2022-01-23 12:00:00
103,-4.7289910000000015,-35.982513,2022-01-23 06:00:00
103,-4.739124,-35.922901,2022-01-23 00:00:00
103,-4.751462999999998,-35.83696,2022-01-22 18:00:00
103,-4.7754010000000005,-35.760292,2022-01-22 12:00:00
103,-4.798409,-35.688313,2022-01-22 06:00:00
103,-4.828341,-35.614162,2022-01-22 00:00:00
103,-4.864143,-35.520859,2022-01-21 18:00:00
103,-4.896113,-35.446487,2022-01-21 12:00:00
103,-4.940125,-35.368568,2022-01-21 06:00:00
103,-4.981319,-35.300564,2022-01-21 00:00:00
103,-5.048839,-35.223118,2022-01-20 18:00:00
103,-5.130791,-35.140465,2022-01-20 12:00:00
103,-5.225924,-35.07235,2022-01-20 06:00:00
103,-5.316292,-35.014019,2022-01-20 00:00:00
103,-5.420507,-34.965599,2022-01-19 18:00:00
103,-5.512512999999998,-34.921688,2022-01-19 12:00:00
103,-5.588403,-34.883869,2022-01-19 06:00:00
103,-5.639138,-34.8353,2022-01-19 00:00:00
103,-5.682272,-34.77018,2022-01-18 18:00:00
103,-5.717427,-34.707722,2022-01-18 12:00:00
103,-5.75169,-34.645336,2022-01-18 06:00:00
103,-5.790608,-34.582108000000005,2022-01-18 00:00:00
103,-5.836978,-34.521652,2022-01-17 18:00:00
103,-5.881342,-34.471256,2022-01-17 12:00:00
103,-5.9140169999999985,-34.429394,2022-01-17 06:00:00
103,-5.938438,-34.378498,2022-01-17 00:00:00
103,-5.957606,-34.321766,2022-01-16 18:00:00
103,-5.976238,-34.268669,2022-01-16 12:00:00
103,-5.9889519999999985,-34.219517,2022-01-16 06:00:00
103,-6.0003150000000005,-34.152275,2022-01-16 00:00:00
103,-6.012074,-34.07542,2022-01-15 18:00:00
103,-6.0302,-33.99361,2022-01-15 12:00:00
103,-6.050454,-33.907207,2022-01-15 06:00:00
103,-6.082236,-33.810841,2022-01-15 00:00:00
103,-6.117981,-33.714733,2022-01-14 18:00:00
103,-6.1558449999999985,-33.627468,2022-01-14 12:00:00
103,-6.1922190000000015,-33.555401,2022-01-14 06:00:00
103,-6.232131,-33.487553000000005,2022-01-14 00:00:00
103,-6.261508,-33.432320000000004,2022-01-13 18:00:00
103,-6.2873230000000015,-33.381972999999995,2022-01-13 12:00:00
103,-6.310236,-33.338673,2022-01-13 06:00:00
103,-6.3334199999999985,-33.286995000000005,2022-01-13 00:00:00
103,-6.345729,-33.230934000000005,2022-01-12 18:00:00
103,-6.351088,-33.171818,2022-01-12 12:00:00
103,-6.353693,-33.114021,2022-01-12 06:00:00
103,-6.355762,-33.045395,2022-01-12 00:00:00
103,-6.356599,-32.980629,2022-01-11 18:00:00
103,-6.365501999999998,-32.914660999999995,2022-01-11 12:00:00
103,-6.3838620000000015,-32.84565,2022-01-11 06:00:00
103,-6.4068559999999986,-32.763794,2022-01-11 00:00:00
103,-6.432839,-32.669514,2022-01-10 18:00:00
103,-6.459625,-32.583981,2022-01-10 12:00:00
103,-6.491557,-32.513690999999994,2022-01-10 06:00:00
103,-6.531713,-32.444298,2022-01-10 00:00:00
104,-3.230878,-39.27034,2022-02-10 00:00:00
104,-3.261342,-39.226826,2022-02-09 18:00:00
104,-3.2886660000000005,-39.190063,2022-02-09 12:00:00
